sensor_id,name,email,phone,sensor_type,location,status,message,notif_type
68,User 68,user68@mail.com,+380991110068,MotionSensor,Room 27,inactive,Notification message 68,warning
69,User 69,user69@mail.com,+380991110069,SmokeSensor,Room 38,inactive,Notification message 69,info
70,User 70,user70@mail.com,+380991110070,SmokeSensor,Room 21,inactive,Notification message 70,info
71,User 71,user71@mail.com,+380991110071,MotionSensor,Room 27,active,Notification message 71,warning
72,User 72,user72@mail.com,+380991110072,MotionSensor,Room 16,inactive,Notification message 72,warning
73,User 73,user73@mail.com,+380991110073,DoorSensor,Room 21,active,Notification message 73,warning
74,User 74,user74@mail.com,+380991110074,MotionSensor,Room 45,active,Notification message 74,info
75,User 75,user75@mail.com,+380991110075,SmokeSensor,Room 17,inactive,Notification message 75,warning
76,User 76,user76@mail.com,+380991110076,MotionSensor,Room 43,active,Notification message 76,alarm
77,User 77,user77@mail.com,+380991110077,SmokeSensor,Room 40,active,Notification message 77,info
78,User 78,user78@mail.com,+380991110078,DoorSensor,Room 26,inactive,Notification message 78,alarm
79,User 79,user79@mail.com,+380991110079,DoorSensor,Room 15,active,Notification message 79,info
80,User 80,user80@mail.com,+380991110080,MotionSensor,Room 23,active,Notification message 80,info
81,User 81,user81@mail.com,+380991110081,MotionSensor,Room 3,inactive,Notification message 81,info
82,User 82,user82@mail.com,+380991110082,SmokeSensor,Room 24,active,Notification message 82,info
83,User 83,user83@mail.com,+380991110083,DoorSensor,Room 33,inactive,Notification message 83,info
84,User 84,user84@mail.com,+380991110084,MotionSensor,Room 10,active,Notification message 84,alarm
85,User 85,user85@mail.com,+380991110085,SmokeSensor,Room 10,active,Notification message 85,info
86,User 86,user86@mail.com,+380991110086,SmokeSensor,Room 16,inactive,Notification message 86,alarm
87,User 87,user87@mail.com,+380991110087,MotionSensor,Room 27,inactive,Notification message 87,warning
88,User 88,user88@mail.com,+380991110088,DoorSensor,Room 5,active,Notification message 88,info
89,User 89,user89@mail.com,+380991110089,DoorSensor,Room 24,active,Notification message 89,info
90,User 90,user90@mail.com,+380991110090,MotionSensor,Room 23,inactive,Notification message 90,info
91,User 91,user91@mail.com,+380991110091,DoorSensor,Room 18,inactive,Notification message 91,alarm
92,User 92,user92@mail.com,+380991110092,SmokeSensor,Room 35,active,Notification message 92,alarm
93,User 93,user93@mail.com,+380991110093,DoorSensor,Room 41,inactive,Notification message 93,warning
94,User 94,user94@mail.com,+380991110094,MotionSensor,Room 6,inactive,Notification message 94,alarm
95,User 95,user95@mail.com,+380991110095,SmokeSensor,Room 48,active,Notification message 95,info
96,User 96,user96@mail.com,+380991110096,DoorSensor,Room 8,inactive,Notification message 96,alarm
97,User 97,user97@mail.com,+380991110097,SmokeSensor,Room 33,inactive,Notification message 97,alarm
98,User 98,user98@mail.com,+380991110098,MotionSensor,Room 19,active,Notification message 98,alarm
99,User 99,user99@mail.com,+380991110099,SmokeSensor,Room 3,active,Notification message 99,info
100,User 100,user100@mail.com,+380991110100,SmokeSensor,Room 7,active,Notification message 100,warning
101,User 101,user101@mail.com,+380991110101,MotionSensor,Room 35,active,Notification message 101,warning
102,User 102,user102@mail.com,+380991110102,SmokeSensor,Room 3,inactive,Notification message 102,info
103,User 103,user103@mail.com,+380991110103,MotionSensor,Room 8,active,Notification message 103,warning
104,User 104,user104@mail.com,+380991110104,DoorSensor,Room 49,inactive,Notification message 104,warning
105,User 105,user105@mail.com,+380991110105,MotionSensor,Room 36,inactive,Notification message 105,warning
106,User 106,user106@mail.com,+380991110106,DoorSensor,Room 7,inactive,Notification message 106,warning
107,User 107,user107@mail.com,+380991110107,MotionSensor,Room 45,active,Notification message 107,warning
108,User 108,user108@mail.com,+380991110108,SmokeSensor,Room 1,active,Notification message 108,info
109,User 109,user109@mail.com,+380991110109,SmokeSensor,Room 9,active,Notification message 109,alarm
110,User 110,user110@mail.com,+380991110110,DoorSensor,Room 21,active,Notification message 110,info
111,User 111,user111@mail.com,+380991110111,DoorSensor,Room 30,inactive,Notification message 111,warning
112,User 112,user112@mail.com,+380991110112,SmokeSensor,Room 42,active,Notification message 112,alarm
113,User 113,user113@mail.com,+380991110113,DoorSensor,Room 45,active,Notification message 113,info
114,User 114,user114@mail.com,+380991110114,SmokeSensor,Room 24,inactive,Notification message 114,alarm
115,User 115,user115@mail.com,+380991110115,SmokeSensor,Room 26,active,Notification message 115,warning
116,User 116,user116@mail.com,+380991110116,DoorSensor,Room 6,inactive,Notification message 116,info
117,User 117,user117@mail.com,+380991110117,MotionSensor,Room 12,active,Notification message 117,info
118,User 118,user118@mail.com,+380991110118,SmokeSensor,Room 46,inactive,Notification message 118,info
119,User 119,user119@mail.com,+380991110119,DoorSensor,Room 42,active,Notification message 119,alarm
120,User 120,user120@mail.com,+380991110120,DoorSensor,Room 1,active,Notification message 120,alarm
121,User 121,user121@mail.com,+380991110121,DoorSensor,Room 45,inactive,Notification message 121,alarm
122,User 122,user122@mail.com,+380991110122,MotionSensor,Room 16,inactive,Notification message 122,info
123,User 123,user123@mail.com,+380991110123,DoorSensor,Room 16,inactive,Notification message 123,info
124,User 124,user124@mail.com,+380991110124,MotionSensor,Room 40,active,Notification message 124,warning
125,User 125,user125@mail.com,+380991110125,SmokeSensor,Room 7,inactive,Notification message 125,info
126,User 126,user126@mail.com,+380991110126,MotionSensor,Room 19,inactive,Notification message 126,info
127,User 127,user127@mail.com,+380991110127,SmokeSensor,Room 5,inactive,Notification message 127,alarm
128,User 128,user128@mail.com,+380991110128,MotionSensor,Room 34,inactive,Notification message 128,info
129,User 129,user129@mail.com,+380991110129,DoorSensor,Room 3,inactive,Notification message 129,warning
130,User 130,user130@mail.com,+380991110130,MotionSensor,Room 48,active,Notification message 130,alarm
131,User 131,user131@mail.com,+380991110131,MotionSensor,Room 43,inactive,Notification message 131,alarm
132,User 132,user132@mail.com,+380991110132,DoorSensor,Room 6,active,Notification message 132,alarm
133,User 133,user133@mail.com,+380991110133,MotionSensor,Room 45,active,Notification message 133,warning
134,User 134,user134@mail.com,+380991110134,SmokeSensor,Room 27,active,Notification message 134,alarm
135,User 135,user135@mail.com,+380991110135,DoorSensor,Room 9,inactive,Notification message 135,info
136,User 136,user136@mail.com,+380991110136,SmokeSensor,Room 17,active,Notification message 136,alarm
137,User 137,user137@mail.com,+380991110137,MotionSensor,Room 27,inactive,Notification message 137,info
138,User 138,user138@mail.com,+380991110138,DoorSensor,Room 46,active,Notification message 138,warning
139,User 139,user139@mail.com,+380991110139,DoorSensor,Room 36,inactive,Notification message 139,info
140,User 140,user140@mail.com,+380991110140,DoorSensor,Room 17,active,Notification message 140,alarm
141,User 141,user141@mail.com,+380991110141,MotionSensor,Room 33,active,Notification message 141,alarm
142,User 142,user142@mail.com,+380991110142,SmokeSensor,Room 7,inactive,Notification message 142,warning
143,User 143,user143@mail.com,+380991110143,MotionSensor,Room 50,inactive,Notification message 143,alarm
144,User 144,user144@mail.com,+380991110144,MotionSensor,Room 25,active,Notification message 144,alarm
145,User 145,user145@mail.com,+380991110145,DoorSensor,Room 46,inactive,Notification message 145,warning
146,User 146,user146@mail.com,+380991110146,DoorSensor,Room 46,inactive,Notification message 146,info
147,User 147,user147@mail.com,+380991110147,DoorSensor,Room 45,active,Notification message 147,info
148,User 148,user148@mail.com,+380991110148,SmokeSensor,Room 34,active,Notification message 148,alarm
149,User 149,user149@mail.com,+380991110149,SmokeSensor,Room 2,inactive,Notification message 149,alarm
150,User 150,user150@mail.com,+380991110150,SmokeSensor,Room 37,active,Notification message 150,alarm
151,User 151,user151@mail.com,+380991110151,DoorSensor,Room 9,inactive,Notification message 151,warning
152,User 152,user152@mail.com,+380991110152,MotionSensor,Room 2,active,Notification message 152,warning
153,User 153,user153@mail.com,+380991110153,SmokeSensor,Room 27,active,Notification message 153,warning
154,User 154,user154@mail.com,+380991110154,DoorSensor,Room 40,inactive,Notification message 154,alarm
155,User 155,user155@mail.com,+380991110155,SmokeSensor,Room 41,inactive,Notification message 155,info
156,User 156,user156@mail.com,+380991110156,MotionSensor,Room 11,inactive,Notification message 156,warning
157,User 157,user157@mail.com,+380991110157,MotionSensor,Room 19,inactive,Notification message 157,alarm
158,User 158,user158@mail.com,+380991110158,MotionSensor,Room 40,inactive,Notification message 158,alarm
159,User 159,user159@mail.com,+380991110159,SmokeSensor,Room 47,inactive,Notification message 159,info
160,User 160,user160@mail.com,+380991110160,DoorSensor,Room 3,active,Notification message 160,info
161,User 161,user161@mail.com,+380991110161,MotionSensor,Room 34,inactive,Notification message 161,warning
162,User 162,user162@mail.com,+380991110162,DoorSensor,Room 9,inactive,Notification message 162,alarm
163,User 163,user163@mail.com,+380991110163,MotionSensor,Room 23,inactive,Notification message 163,alarm
164,User 164,user164@mail.com,+380991110164,MotionSensor,Room 32,active,Notification message 164,alarm
165,User 165,user165@mail.com,+380991110165,SmokeSensor,Room 7,active,Notification message 165,info
166,User 166,user166@mail.com,+380991110166,DoorSensor,Room 48,active,Notification message 166,info
167,User 167,user167@mail.com,+380991110167,MotionSensor,Room 32,active,Notification message 167,alarm
168,User 168,user168@mail.com,+380991110168,SmokeSensor,Room 48,inactive,Notification message 168,warning
169,User 169,user169@mail.com,+380991110169,SmokeSensor,Room 49,active,Notification message 169,alarm
170,User 170,user170@mail.com,+380991110170,MotionSensor,Room 30,inactive,Notification message 170,alarm
171,User 171,user171@mail.com,+380991110171,MotionSensor,Room 35,active,Notification message 171,alarm
172,User 172,user172@mail.com,+380991110172,DoorSensor,Room 23,inactive,Notification message 172,alarm
173,User 173,user173@mail.com,+380991110173,SmokeSensor,Room 4,active,Notification message 173,warning
174,User 174,user174@mail.com,+380991110174,SmokeSensor,Room 37,active,Notification message 174,alarm
175,User 175,user175@mail.com,+380991110175,MotionSensor,Room 36,active,Notification message 175,warning
176,User 176,user176@mail.com,+380991110176,SmokeSensor,Room 6,active,Notification message 176,info
177,User 177,user177@mail.com,+380991110177,MotionSensor,Room 37,active,Notification message 177,warning
178,User 178,user178@mail.com,+380991110178,SmokeSensor,Room 29,inactive,Notification message 178,info
179,User 179,user179@mail.com,+380991110179,SmokeSensor,Room 3,active,Notification message 179,info
180,User 180,user180@mail.com,+380991110180,MotionSensor,Room 23,active,Notification message 180,alarm
181,User 181,user181@mail.com,+380991110181,MotionSensor,Room 30,inactive,Notification message 181,warning
182,User 182,user182@mail.com,+380991110182,MotionSensor,Room 6,inactive,Notification message 182,warning
183,User 183,user183@mail.com,+380991110183,MotionSensor,Room 35,inactive,Notification message 183,warning
184,User 184,user184@mail.com,+380991110184,MotionSensor,Room 4,inactive,Notification message 184,alarm
185,User 185,user185@mail.com,+380991110185,DoorSensor,Room 16,active,Notification message 185,alarm
186,User 186,user186@mail.com,+380991110186,DoorSensor,Room 8,active,Notification message 186,alarm
187,User 187,user187@mail.com,+380991110187,MotionSensor,Room 13,active,Notification message 187,warning
188,User 188,user188@mail.com,+380991110188,SmokeSensor,Room 45,active,Notification message 188,info
189,User 189,user189@mail.com,+380991110189,MotionSensor,Room 48,inactive,Notification message 189,info
190,User 190,user190@mail.com,+380991110190,SmokeSensor,Room 25,active,Notification message 190,info
191,User 191,user191@mail.com,+380991110191,MotionSensor,Room 18,inactive,Notification message 191,warning
192,User 192,user192@mail.com,+380991110192,DoorSensor,Room 26,inactive,Notification message 192,info
193,User 193,user193@mail.com,+380991110193,SmokeSensor,Room 33,active,Notification message 193,info
194,User 194,user194@mail.com,+380991110194,SmokeSensor,Room 44,inactive,Notification message 194,warning
195,User 195,user195@mail.com,+380991110195,DoorSensor,Room 23,active,Notification message 195,warning
196,User 196,user196@mail.com,+380991110196,MotionSensor,Room 34,inactive,Notification message 196,warning
197,User 197,user197@mail.com,+380991110197,MotionSensor,Room 42,active,Notification message 197,alarm
198,User 198,user198@mail.com,+380991110198,DoorSensor,Room 28,active,Notification message 198,warning
199,User 199,user199@mail.com,+380991110199,DoorSensor,Room 24,active,Notification message 199,alarm
200,User 200,user200@mail.com,+380991110200,MotionSensor,Room 21,active,Notification message 200,alarm
201,User 201,user201@mail.com,+380991110201,SmokeSensor,Room 7,active,Notification message 201,info
202,User 202,user202@mail.com,+380991110202,DoorSensor,Room 18,inactive,Notification message 202,alarm
203,User 203,user203@mail.com,+380991110203,DoorSensor,Room 15,inactive,Notification message 203,info
204,User 204,user204@mail.com,+380991110204,DoorSensor,Room 12,inactive,Notification message 204,info
205,User 205,user205@mail.com,+380991110205,MotionSensor,Room 41,active,Notification message 205,info
206,User 206,user206@mail.com,+380991110206,MotionSensor,Room 12,inactive,Notification message 206,info
207,User 207,user207@mail.com,+380991110207,DoorSensor,Room 47,inactive,Notification message 207,alarm
208,User 208,user208@mail.com,+380991110208,MotionSensor,Room 4,inactive,Notification message 208,info
209,User 209,user209@mail.com,+380991110209,SmokeSensor,Room 15,active,Notification message 209,info
210,User 210,user210@mail.com,+380991110210,DoorSensor,Room 12,active,Notification message 210,info
211,User 211,user211@mail.com,+380991110211,MotionSensor,Room 28,active,Notification message 211,info
212,User 212,user212@mail.com,+380991110212,SmokeSensor,Room 17,active,Notification message 212,info
213,User 213,user213@mail.com,+380991110213,MotionSensor,Room 3,active,Notification message 213,alarm
214,User 214,user214@mail.com,+380991110214,MotionSensor,Room 24,inactive,Notification message 214,warning
215,User 215,user215@mail.com,+380991110215,DoorSensor,Room 7,active,Notification message 215,warning
216,User 216,user216@mail.com,+380991110216,MotionSensor,Room 42,inactive,Notification message 216,alarm
217,User 217,user217@mail.com,+380991110217,SmokeSensor,Room 9,active,Notification message 217,info
218,User 218,user218@mail.com,+380991110218,DoorSensor,Room 34,inactive,Notification message 218,info
219,User 219,user219@mail.com,+380991110219,MotionSensor,Room 38,inactive,Notification message 219,warning
220,User 220,user220@mail.com,+380991110220,MotionSensor,Room 36,active,Notification message 220,warning
221,User 221,user221@mail.com,+380991110221,MotionSensor,Room 45,inactive,Notification message 221,warning
222,User 222,user222@mail.com,+380991110222,MotionSensor,Room 5,active,Notification message 222,warning
223,User 223,user223@mail.com,+380991110223,DoorSensor,Room 29,active,Notification message 223,warning
224,User 224,user224@mail.com,+380991110224,SmokeSensor,Room 19,active,Notification message 224,warning
225,User 225,user225@mail.com,+380991110225,MotionSensor,Room 20,active,Notification message 225,warning
226,User 226,user226@mail.com,+380991110226,MotionSensor,Room 32,active,Notification message 226,info
227,User 227,user227@mail.com,+380991110227,DoorSensor,Room 21,inactive,Notification message 227,info
228,User 228,user228@mail.com,+380991110228,DoorSensor,Room 4,active,Notification message 228,warning
229,User 229,user229@mail.com,+380991110229,DoorSensor,Room 32,inactive,Notification message 229,info
230,User 230,user230@mail.com,+380991110230,SmokeSensor,Room 6,active,Notification message 230,info
231,User 231,user231@mail.com,+380991110231,DoorSensor,Room 32,active,Notification message 231,warning
232,User 232,user232@mail.com,+380991110232,SmokeSensor,Room 20,active,Notification message 232,alarm
233,User 233,user233@mail.com,+380991110233,SmokeSensor,Room 21,active,Notification message 233,info
234,User 234,user234@mail.com,+380991110234,SmokeSensor,Room 50,inactive,Notification message 234,info
235,User 235,user235@mail.com,+380991110235,DoorSensor,Room 24,active,Notification message 235,warning
236,User 236,user236@mail.com,+380991110236,SmokeSensor,Room 44,inactive,Notification message 236,info
237,User 237,user237@mail.com,+380991110237,MotionSensor,Room 8,active,Notification message 237,alarm
238,User 238,user238@mail.com,+380991110238,SmokeSensor,Room 8,inactive,Notification message 238,alarm
239,User 239,user239@mail.com,+380991110239,MotionSensor,Room 37,active,Notification message 239,warning
240,User 240,user240@mail.com,+380991110240,MotionSensor,Room 26,active,Notification message 240,alarm
241,User 241,user241@mail.com,+380991110241,MotionSensor,Room 25,active,Notification message 241,warning
242,User 242,user242@mail.com,+380991110242,MotionSensor,Room 20,active,Notification message 242,info
243,User 243,user243@mail.com,+380991110243,MotionSensor,Room 20,active,Notification message 243,alarm
244,User 244,user244@mail.com,+380991110244,DoorSensor,Room 2,active,Notification message 244,info
245,User 245,user245@mail.com,+380991110245,DoorSensor,Room 45,active,Notification message 245,alarm
246,User 246,user246@mail.com,+380991110246,MotionSensor,Room 23,inactive,Notification message 246,alarm
247,User 247,user247@mail.com,+380991110247,DoorSensor,Room 5,inactive,Notification message 247,alarm
248,User 248,user248@mail.com,+380991110248,MotionSensor,Room 32,inactive,Notification message 248,warning
249,User 249,user249@mail.com,+380991110249,MotionSensor,Room 15,inactive,Notification message 249,info
250,User 250,user250@mail.com,+380991110250,SmokeSensor,Room 8,active,Notification message 250,warning
251,User 251,user251@mail.com,+380991110251,DoorSensor,Room 13,active,Notification message 251,info
252,User 252,user252@mail.com,+380991110252,DoorSensor,Room 32,active,Notification message 252,warning
253,User 253,user253@mail.com,+380991110253,DoorSensor,Room 22,inactive,Notification message 253,warning
254,User 254,user254@mail.com,+380991110254,DoorSensor,Room 10,inactive,Notification message 254,info
255,User 255,user255@mail.com,+380991110255,DoorSensor,Room 23,active,Notification message 255,warning
256,User 256,user256@mail.com,+380991110256,DoorSensor,Room 31,active,Notification message 256,warning
257,User 257,user257@mail.com,+380991110257,DoorSensor,Room 48,inactive,Notification message 257,info
258,User 258,user258@mail.com,+380991110258,MotionSensor,Room 14,active,Notification message 258,alarm
259,User 259,user259@mail.com,+380991110259,MotionSensor,Room 26,inactive,Notification message 259,info
260,User 260,user260@mail.com,+380991110260,DoorSensor,Room 35,inactive,Notification message 260,warning
261,User 261,user261@mail.com,+380991110261,MotionSensor,Room 33,inactive,Notification message 261,info
262,User 262,user262@mail.com,+380991110262,DoorSensor,Room 26,active,Notification message 262,alarm
263,User 263,user263@mail.com,+380991110263,DoorSensor,Room 13,active,Notification message 263,warning
264,User 264,user264@mail.com,+380991110264,SmokeSensor,Room 27,active,Notification message 264,warning
265,User 265,user265@mail.com,+380991110265,DoorSensor,Room 46,active,Notification message 265,info
266,User 266,user266@mail.com,+380991110266,MotionSensor,Room 32,inactive,Notification message 266,warning
267,User 267,user267@mail.com,+380991110267,MotionSensor,Room 6,inactive,Notification message 267,warning
268,User 268,user268@mail.com,+380991110268,SmokeSensor,Room 35,active,Notification message 268,warning
269,User 269,user269@mail.com,+380991110269,DoorSensor,Room 1,active,Notification message 269,warning
270,User 270,user270@mail.com,+380991110270,DoorSensor,Room 37,inactive,Notification message 270,alarm
271,User 271,user271@mail.com,+380991110271,SmokeSensor,Room 1,inactive,Notification message 271,alarm
272,User 272,user272@mail.com,+380991110272,SmokeSensor,Room 31,inactive,Notification message 272,info
273,User 273,user273@mail.com,+380991110273,SmokeSensor,Room 34,inactive,Notification message 273,warning
274,User 274,user274@mail.com,+380991110274,MotionSensor,Room 31,inactive,Notification message 274,info
275,User 275,user275@mail.com,+380991110275,DoorSensor,Room 37,active,Notification message 275,warning
276,User 276,user276@mail.com,+380991110276,DoorSensor,Room 27,inactive,Notification message 276,alarm
277,User 277,user277@mail.com,+380991110277,DoorSensor,Room 3,active,Notification message 277,alarm
278,User 278,user278@mail.com,+380991110278,MotionSensor,Room 37,active,Notification message 278,info
279,User 279,user279@mail.com,+380991110279,DoorSensor,Room 5,inactive,Notification message 279,alarm
280,User 280,user280@mail.com,+380991110280,SmokeSensor,Room 8,active,Notification message 280,warning
281,User 281,user281@mail.com,+380991110281,SmokeSensor,Room 29,active,Notification message 281,alarm
282,User 282,user282@mail.com,+380991110282,MotionSensor,Room 30,inactive,Notification message 282,warning
283,User 283,user283@mail.com,+380991110283,MotionSensor,Room 39,active,Notification message 283,info
284,User 284,user284@mail.com,+380991110284,SmokeSensor,Room 31,active,Notification message 284,alarm
285,User 285,user285@mail.com,+380991110285,SmokeSensor,Room 11,active,Notification message 285,warning
286,User 286,user286@mail.com,+380991110286,DoorSensor,Room 11,active,Notification message 286,warning
287,User 287,user287@mail.com,+380991110287,SmokeSensor,Room 3,inactive,Notification message 287,alarm
288,User 288,user288@mail.com,+380991110288,SmokeSensor,Room 1,active,Notification message 288,info
289,User 289,user289@mail.com,+380991110289,MotionSensor,Room 48,active,Notification message 289,warning
290,User 290,user290@mail.com,+380991110290,DoorSensor,Room 22,inactive,Notification message 290,warning
291,User 291,user291@mail.com,+380991110291,MotionSensor,Room 27,active,Notification message 291,info
292,User 292,user292@mail.com,+380991110292,DoorSensor,Room 47,active,Notification message 292,warning
293,User 293,user293@mail.com,+380991110293,DoorSensor,Room 1,inactive,Notification message 293,warning
294,User 294,user294@mail.com,+380991110294,MotionSensor,Room 31,active,Notification message 294,warning
295,User 295,user295@mail.com,+380991110295,DoorSensor,Room 1,active,Notification message 295,alarm
296,User 296,user296@mail.com,+380991110296,MotionSensor,Room 22,inactive,Notification message 296,info
297,User 297,user297@mail.com,+380991110297,MotionSensor,Room 10,inactive,Notification message 297,alarm
298,User 298,user298@mail.com,+380991110298,SmokeSensor,Room 47,inactive,Notification message 298,alarm
299,User 299,user299@mail.com,+380991110299,DoorSensor,Room 38,active,Notification message 299,info
300,User 300,user300@mail.com,+380991110300,DoorSensor,Room 1,inactive,Notification message 300,warning
301,User 301,user301@mail.com,+380991110301,SmokeSensor,Room 41,inactive,Notification message 301,info
302,User 302,user302@mail.com,+380991110302,SmokeSensor,Room 37,inactive,Notification message 302,info
303,User 303,user303@mail.com,+380991110303,MotionSensor,Room 15,inactive,Notification message 303,info
304,User 304,user304@mail.com,+380991110304,DoorSensor,Room 49,active,Notification message 304,alarm
305,User 305,user305@mail.com,+380991110305,MotionSensor,Room 25,active,Notification message 305,info
306,User 306,user306@mail.com,+380991110306,SmokeSensor,Room 26,inactive,Notification message 306,alarm
307,User 307,user307@mail.com,+380991110307,SmokeSensor,Room 20,active,Notification message 307,alarm
308,User 308,user308@mail.com,+380991110308,DoorSensor,Room 24,active,Notification message 308,warning
